 , ,Bert_layer,Linear_layer_qkv,Self_attention,Attention_layer,Softmax_layer,Context_layer,Linear_layer_ds0,Linear_layer_ds1,Linear_layer_ds2,Gelu_layer,Res_layer,Layer_norm
baseline,Cycle_Period,8.352,7.256,8.352, , , , , , , , ,7.297
 ,Average_Time,4.261 sec,0.355 sec,0.449 ms, , , , , , , , ,0.563 ms
 ,BRAM_18K,665,0,86, , , , , , , , ,0
 ,DSP48E,212,5,77, , , , , , , , ,0
 ,FF,59148,1078,23720, , , , , , , , ,1875
 ,LUT,54254,1721,24016, , , , , , , , ,1490
cct_buffer,Cycle_Period,8.844,7.274,8.844, , , , , , , , ,8.844
 ,Average_Time,0.857 sec,71.152 ms,2.904 ms, , , , , , , , ,0.473 ms
 ,BRAM_18K,606,2,13, , , , , , , , ,0
 ,DSP48E,142,5,7, , , , , , , , ,0
 ,FF,36697,1044,2202, , , , , , , , ,1450
 ,LUT,33732,1724,4015, , , , , , , , ,1300
cct_fake_sa_HLS,Cycle_Period,8.844,8.844,8.844,8.844, ,8.844,8.844,8.844,8.844, , ,8.844
 ,Average_Time,27.157 ms,2.071 ms,1.122 ms,27.850 us, ,40.360 us,2.071 ms,8.282 ms,7.969 ms, , ,0.473 ms
 ,BRAM_18K,1139,0,32,0, ,0,0,0,0, , ,0
 ,DSP48E,495,181,8,0, ,0,1,1,1, , ,0
 ,FF,135445,29161,10671,3466, ,2158,16633,16842,16635, , ,1372
 ,LUT,199449,41407,14779,3639, ,2268,16459,16569,16464, , ,1268
cct_systolic_array_HLS,Cycle_Period,13.291, ,8.844, , , , , , , , ,8.844
 ,Average_Time,35.268 ms, ,1.019 ms, , , , , , , , ,0.473 ms
 ,BRAM_18K,1155, ,48, , , , , , , , ,0
 ,DSP48E,3299, ,184, , , , , , , , ,0
 ,FF,753939, ,47782, , , , , , , , ,1372
 ,LUT,944271, ,59487, , , , , , , , ,1268
 
 
 
 
baseline,Cycle_Period,8.352,7.256,8.352, , , , , , , , ,7.297
 ,Average_Time,4.261 sec,0.355 sec,0.449 ms, , , , , , , , ,0.563 ms
 ,BRAM_18K,665,0,86, , , , , , , , ,0
 ,DSP48E,212,5,77, , , , , , , , ,0
 ,FF,59148,1078,23720, , , , , , , , ,1875
 ,LUT,54254,1721,24016, , , , , , , , ,1490
dct_Fixed_24_16,Cycle_Period,8.352,7.098,8.352,6.972, , , ,7.157, , , ,7.297
 ,Average_Time,0.861 sec,71.885 ms,0.423 ms,8.910 us, , , ,0.288 sec, , , ,0.563 ms
 ,BRAM_18K,674,0,87,1, , , ,96, , , ,0
 ,DSP48E,397,4,259,208, , , ,0, , , ,0
 ,FF,61568,725,24115,13904, , , ,1175, , , ,2306
 ,LUT,59554,1012,24669,10863, , , ,2297, , , ,2176
dct_int12,Cycle_Period,7.421,7.274,7.256,7.084, ,7.171,7.274,7.256,7.256, , ,7.297
 ,Average_Time,1.148 sec,95.810 ms,0.519 ms,4.870 us, ,21.690 us,95.810 ms,0.382 sec,0.380 sec, , ,0.563 ms
 ,BRAM_18K,8691,814,110,22, ,4,814,3220,3154, , ,0
 ,DSP48E,412,9,270,88, ,12,1,1,1, , ,0
 ,FF,138852,3237,95230,64458, ,16584,2714,2776,2750, , ,1875
 ,LUT,189152,4668,147282,95715, ,19652,3663,3728,3730, , ,1490
